inquiry_id,priority,issue_category,issue_subcategory,channel,region,handled_by,hour_of_day,weekday,sla_breach_flag,resolution_minutes,sla_hours,created_at
INC00101,Medium,Chargeback,Merchant Error,Mobile App,West,Agent_14,18,4,0,1206,48,2025-06-26 18:19:00
INC00102,Low,Payment Failure,Beneficiary Error,Mobile App,East,Agent_2,12,5,1,,72,2025-05-02 12:36:00
INC00103,High,KYC/Documentation,Verification Delay,Chat,South,Agent_82,19,0,0,1169,24,2025-01-26 19:47:00
INC00104,Medium,Account Access,Locked Account,Phone,North,Agent_40,19,2,0,87,48,2025-04-08 19:16:00
INC00105,High,Account Access,Password Reset,Mobile App,South,Agent_26,1,4,0,155,24,2025-08-14 01:37:00
INC00106,High,Payment Failure,Insufficient Funds,Mobile App,East,Agent_96,17,0,0,298,24,2025-03-09 17:56:00
INC00107,High,Delay,Clearing Delay,Mobile App,Central,Agent_47,3,1,0,140,24,2025-06-23 03:29:00
INC00108,Low,Payment Failure,Insufficient Funds,Chat,Central,Agent_49,12,0,0,979,72,2025-02-16 12:00:00
INC00109,High,Transaction Mismatch,Missing Transaction,Email,North,Agent_82,3,4,0,346,24,2025-07-10 03:43:00
INC00110,Low,Transaction Mismatch,Amount Mismatch,Mobile App,North,Agent_13,22,2,0,742,72,2025-08-26 22:19:00
INC00111,High,Transaction Mismatch,Missing Transaction,Mobile App,Central,Agent_96,17,4,0,647,24,2025-05-01 17:08:00
INC00112,Medium,KYC/Documentation,Mismatch Info,Chat,South,Agent_57,13,5,0,1107,48,2025-03-21 13:41:00
INC00113,Low,Delay,Processing Queue,Chat,North,Agent_51,7,6,0,185,72,2025-08-16 07:54:00
INC00114,Medium,KYC/Documentation,Missing Documents,Phone,North,Agent_101,6,4,1,,48,2025-05-22 06:07:00
INC00115,High,Payment Failure,Gateway Error,Email,South,Agent_43,7,5,0,219,24,2025-06-20 07:08:00
INC00116,Critical,KYC/Documentation,Missing Documents,Email,North,Agent_85,19,1,1,499,4,2025-03-17 19:00:00
INC00117,Medium,Account Access,Password Reset,Chat,North,Agent_17,4,2,0,-23,48,2025-01-14 04:00:00
INC00118,High,Delay,Interbank Delay,Phone,West,Agent_65,16,1,1,,24,2025-08-04 16:07:00
INC00119,Medium,Account Access,Locked Account,Phone,North,Agent_62,19,4,0,181,48,2025-04-24 19:02:00
INC00120,Low,Transaction Mismatch,Duplicate Transaction,Email,North,Agent_17,13,5,0,1034,72,2025-07-25 13:43:00
INC00121,Low,Payment Failure,Insufficient Funds,Chat,West,Agent_65,19,3,0,868,72,2025-05-21 19:40:00
INC00122,Medium,Delay,Processing Queue,Email,West,Agent_58,3,6,0,2799,48,2025-08-09 03:50:00
INC00123,Medium,Transaction Mismatch,Duplicate Transaction,Chat,East,Agent_48,13,0,0,473,48,2025-04-27 13:21:00
INC00124,Low,Delay,Clearing Delay,Chat,South,Agent_72,21,4,0,3982,72,2025-03-20 21:59:00
INC00125,Medium,Transaction Mismatch,Amount Mismatch,Mobile App,North,Agent_37,18,5,0,183,48,2025-01-31 18:35:00
INC00126,Medium,Payment Failure,Gateway Error,Phone,East,Agent_109,11,1,0,351,48,2025-06-09 11:06:00
INC00127,High,Payment Failure,Insufficient Funds,Phone,Central,Agent_119,3,2,0,423,24,2025-07-08 03:48:00
INC00128,High,Account Access,MFA Issue,Phone,South,Agent_112,0,6,1,,24,2025-05-17 00:11:00
INC00129,Medium,Delay,Processing Queue,Email,West,Agent_54,18,6,0,1680,48,2025-03-15 18:42:00
INC00130,High,Transaction Mismatch,Duplicate Transaction,Phone,North,Agent_20,10,4,0,373,24,2025-08-21 10:10:00
INC00131,Medium,Delay,Interbank Delay,Mobile App,West,Agent_35,19,6,0,2112,48,2025-03-22 19:03:00
INC00132,Medium,Transaction Mismatch,Duplicate Transaction,Chat,North,Agent_29,16,1,0,637,48,2025-04-21 16:07:00
INC00133,High,Fraud Detection,Card Fraud,Chat,East,Agent_16,19,2,0,873,24,2025-07-22 19:03:00
INC00134,Medium,Delay,Interbank Delay,Chat,North,Agent_51,15,6,0,2079,48,2025-01-04 15:47:00
INC00135,Medium,Chargeback,Merchant Error,Mobile App,East,Agent_15,13,3,0,313,48,2025-01-22 13:01:00
INC00136,Medium,KYC/Documentation,Mismatch Info,Chat,North,Agent_56,0,0,0,1941,48,2025-07-27 00:20:00
INC00137,Low,Transaction Mismatch,Amount Mismatch,Chat,South,Agent_43,7,1,0,780,72,2025-02-24 07:27:00
INC00138,Low,Delay,Processing Queue,Chat,South,Agent_31,2,5,1,4932,72,2025-03-28 02:32:00
INC00139,High,Delay,Clearing Delay,Email,West,Agent_60,4,6,1,2305,24,2025-02-22 04:16:00
INC00140,Critical,Payment Failure,Beneficiary Error,Chat,South,Agent_57,21,1,0,151,4,2025-08-18 21:59:00
INC00141,Medium,Transaction Mismatch,Duplicate Transaction,Phone,East,Agent_60,15,2,0,722,48,2025-02-04 15:28:00
INC00142,Medium,KYC/Documentation,Missing Documents,Mobile App,West,Agent_75,1,3,0,1499,48,2025-08-20 01:03:00
INC00143,Low,Payment Failure,Gateway Error,Email,North,Agent_58,14,3,0,507,72,2025-01-22 14:58:00
INC00144,Low,Payment Failure,Gateway Error,Mobile App,Central,Agent_67,10,6,0,750,72,2025-02-22 10:45:00
INC00145,High,Fraud Detection,Account Takeover,Phone,East,Agent_9,11,0,0,507,24,2025-03-23 11:23:00
INC00146,Medium,Transaction Mismatch,Duplicate Transaction,Email,East,Agent_11,3,3,0,569,48,2025-06-18 03:35:00
INC00147,Low,Account Access,MFA Issue,Phone,East,Agent_72,11,5,0,368,72,2025-03-14 11:19:00
INC00148,Medium,KYC/Documentation,Mismatch Info,Phone,West,Agent_66,20,6,0,1359,48,2025-07-12 20:50:00
INC00149,Low,Fraud Detection,Card Fraud,Email,South,Agent_18,0,6,0,797,72,2025-07-05 00:23:00
INC00150,High,Account Access,Locked Account,Phone,East,Agent_113,2,5,0,203,24,2025-03-21 02:18:00
INC00151,High,Delay,Processing Queue,Email,West,Agent_6,19,0,1,,24,2025-03-09 19:24:00
INC00152,Medium,Fraud Detection,Account Takeover,Mobile App,South,Agent_69,11,3,0,742,48,2025-07-30 11:43:00
INC00153,Low,Transaction Mismatch,Amount Mismatch,Mobile App,East,Agent_100,9,6,0,765,72,2025-05-03 09:51:00
INC00154,High,Chargeback,Customer Dispute,Chat,North,Agent_83,16,2,0,423,24,2025-07-15 16:33:00
INC00155,High,Delay,Processing Queue,Email,East,Agent_58,11,4,0,317,24,2025-09-04 11:35:00
INC00156,High,Fraud Detection,Account Takeover,Mobile App,North,Agent_51,13,1,0,885,24,2025-03-17 13:05:00
INC00157,Low,Chargeback,Merchant Error,Phone,East,Agent_102,11,1,0,2763,72,2025-09-15 11:15:00
INC00158,Medium,KYC/Documentation,Verification Delay,Mobile App,West,Agent_79,4,0,0,2221,48,2025-03-16 04:02:00
INC00159,Medium,Fraud Detection,Card Fraud,Mobile App,North,Agent_100,2,5,0,532,48,2025-01-03 02:01:00
INC00160,Medium,Delay,Interbank Delay,Phone,North,Agent_108,7,3,0,925,48,2025-05-28 07:19:00
INC00161,Low,Payment Failure,Beneficiary Error,Mobile App,North,Agent_79,19,6,0,443,72,2025-09-13 19:34:00
INC00162,Low,Fraud Detection,Suspicious Login,Phone,West,Agent_112,7,1,0,544,72,2025-06-30 07:36:00
INC00163,Medium,Chargeback,Merchant Error,Phone,East,Agent_31,1,5,0,1084,48,2025-08-29 01:40:00
INC00164,Low,Transaction Mismatch,Amount Mismatch,Email,West,Agent_90,18,0,0,1433,72,2025-02-23 18:47:00
INC00165,High,Delay,Processing Queue,Chat,South,Agent_6,20,3,0,907,24,2025-09-03 20:11:00
INC00166,Critical,Transaction Mismatch,Duplicate Transaction,Chat,North,Agent_97,1,0,0,187,4,2025-04-13 01:20:00
INC00167,Low,Account Access,Locked Account,Chat,West,Agent_114,9,2,0,175,72,2025-04-08 09:22:00
INC00168,Critical,Chargeback,Merchant Error,Mobile App,East,Agent_119,23,4,1,277,4,2025-07-24 23:28:00
INC00169,Critical,Delay,Processing Queue,Chat,East,Agent_14,2,6,1,661,4,2025-05-17 02:46:00
INC00170,Medium,Transaction Mismatch,Missing Transaction,Mobile App,East,Agent_58,10,1,0,227,48,2025-02-10 10:42:00
INC00171,Low,Transaction Mismatch,Duplicate Transaction,Phone,North,Agent_86,23,3,0,587,72,2025-01-22 23:55:00
INC00172,Critical,Account Access,Password Reset,Mobile App,North,Agent_17,11,0,0,-9,4,2025-07-27 11:32:00
INC00173,High,Transaction Mismatch,Duplicate Transaction,Email,West,Agent_48,7,2,0,272,24,2025-02-04 07:49:00
INC00174,Low,Payment Failure,Beneficiary Error,Chat,South,Agent_15,14,4,0,197,72,2025-07-10 14:48:00
INC00175,Low,Payment Failure,Beneficiary Error,Mobile App,South,Agent_79,23,2,0,452,72,2025-01-14 23:11:00
INC00176,High,Fraud Detection,Card Fraud,Mobile App,North,Agent_104,22,2,0,634,24,2025-05-27 22:58:00
INC00177,Low,Delay,Processing Queue,Email,South,Agent_102,21,5,0,2945,72,2025-06-13 21:22:00
INC00178,Low,Chargeback,Customer Dispute,Chat,Central,Agent_74,16,6,0,1194,72,2025-07-05 16:14:00
INC00179,Low,Delay,Clearing Delay,Mobile App,Central,Agent_53,14,2,0,3196,72,2025-07-08 14:51:00
INC00180,Medium,Chargeback,Customer Dispute,Chat,South,Agent_113,18,2,0,685,48,2025-07-29 18:04:00
INC00181,High,KYC/Documentation,Missing Documents,Chat,South,Agent_21,4,5,1,1519,24,2025-04-04 04:27:00
INC00182,High,Chargeback,Merchant Error,Chat,South,Agent_81,22,0,0,425,24,2025-06-15 22:14:00
INC00183,Medium,Payment Failure,Gateway Error,Email,Central,Agent_93,19,4,0,390,48,2025-06-05 19:34:00
INC00184,Low,KYC/Documentation,Missing Documents,Chat,South,Agent_99,18,0,0,4074,72,2025-06-22 18:02:00
INC00185,Medium,Transaction Mismatch,Missing Transaction,Chat,West,Agent_32,19,6,0,229,48,2025-08-02 19:40:00
INC00186,Medium,Account Access,Password Reset,Email,East,Agent_78,9,0,0,251,48,2025-07-27 09:29:00
INC00187,Critical,Transaction Mismatch,Duplicate Transaction,Chat,Central,Agent_72,10,6,0,83,4,2025-03-15 10:55:00
INC00188,Low,Delay,Interbank Delay,Chat,West,Agent_111,10,1,0,1516,72,2025-02-24 10:15:00
INC00189,High,Delay,Interbank Delay,Email,South,Agent_64,7,0,1,2037,24,2025-08-03 07:55:00
INC00190,High,Transaction Mismatch,Amount Mismatch,Email,South,Agent_75,15,4,0,319,24,2025-08-28 15:56:00
INC00191,Medium,Transaction Mismatch,Missing Transaction,Phone,North,Agent_56,1,1,0,674,48,2025-06-30 01:03:00
INC00192,Low,Account Access,MFA Issue,Email,East,Agent_71,8,1,0,50,72,2025-03-10 08:46:00
INC00193,Low,Transaction Mismatch,Missing Transaction,Phone,South,Agent_13,2,3,0,178,72,2025-05-28 02:24:00
INC00194,High,Payment Failure,Insufficient Funds,Mobile App,Central,Agent_6,11,1,0,357,24,2025-07-21 11:50:00
INC00195,Medium,Transaction Mismatch,Duplicate Transaction,Email,East,Agent_120,1,5,0,484,48,2025-01-24 01:08:00
INC00196,Medium,Account Access,MFA Issue,Mobile App,Central,Agent_39,5,5,0,232,48,2025-06-13 05:25:00
INC00197,Medium,Account Access,MFA Issue,Phone,Central,Agent_61,0,1,0,358,48,2025-09-01 00:23:00
INC00198,Medium,Payment Failure,Gateway Error,Email,Central,Agent_81,20,5,0,312,48,2025-05-16 20:50:00
INC00199,High,Fraud Detection,Suspicious Login,Phone,West,Agent_41,4,1,0,399,24,2025-07-14 04:52:00
INC00200,High,Fraud Detection,Suspicious Login,Phone,South,Agent_67,4,0,0,824,24,2025-08-03 04:26:00
INC00201,Low,Transaction Mismatch,Duplicate Transaction,Chat,Central,Agent_46,17,4,0,339,72,2025-04-17 17:20:00
INC00202,Medium,Chargeback,Merchant Error,Chat,East,Agent_91,19,5,0,121,48,2025-05-16 19:30:00
INC00203,Medium,Transaction Mismatch,Duplicate Transaction,Chat,East,Agent_16,22,4,0,596,48,2025-04-17 22:45:00
INC00204,Low,Chargeback,Customer Dispute,Phone,East,Agent_119,12,1,0,281,72,2025-07-14 12:52:00
INC00205,High,Transaction Mismatch,Amount Mismatch,Chat,South,Agent_14,20,5,1,,24,2025-08-15 20:16:00
INC00206,Medium,KYC/Documentation,Missing Documents,Mobile App,East,Agent_92,7,6,0,2204,48,2025-05-03 07:03:00
INC00207,Critical,Delay,Processing Queue,Mobile App,West,Agent_84,3,6,1,447,4,2025-08-30 03:43:00
INC00208,Medium,Payment Failure,Gateway Error,Phone,South,Agent_54,9,0,0,133,48,2025-04-13 09:20:00
INC00209,High,Account Access,Password Reset,Chat,North,Agent_2,1,2,0,214,24,2025-04-01 01:53:00
INC00210,Low,Chargeback,Merchant Error,Mobile App,South,Agent_109,18,1,1,,72,2025-06-02 18:38:00
INC00211,Medium,Delay,Clearing Delay,Email,North,Agent_95,8,4,1,4217,48,2025-08-28 08:12:00
INC00212,Medium,Account Access,Password Reset,Mobile App,West,Agent_66,9,0,0,156,48,2025-06-22 09:36:00
INC00213,Medium,Delay,Clearing Delay,Phone,East,Agent_50,2,2,0,919,48,2025-06-17 02:25:00
INC00214,Medium,Chargeback,Merchant Error,Chat,East,Agent_89,14,4,0,879,48,2025-05-01 14:48:00
INC00215,Medium,Transaction Mismatch,Amount Mismatch,Chat,North,Agent_82,1,4,0,461,48,2025-05-01 01:42:00
INC00216,Medium,Fraud Detection,Card Fraud,Chat,West,Agent_90,11,0,1,,48,2025-06-01 11:39:00
INC00217,Medium,KYC/Documentation,Missing Documents,Phone,Central,Agent_58,17,6,0,1024,48,2025-08-30 17:51:00
INC00218,High,Delay,Processing Queue,Email,South,Agent_42,2,6,0,792,24,2025-07-05 02:58:00
INC00219,Low,Account Access,MFA Issue,Phone,West,Agent_17,3,5,0,140,72,2025-08-15 03:43:00
INC00220,High,Payment Failure,Beneficiary Error,Mobile App,East,Agent_105,14,5,0,409,24,2025-08-01 14:36:00
INC00221,Low,Delay,Interbank Delay,Phone,North,Agent_120,23,4,0,1196,72,2025-01-02 23:13:00
INC00222,High,Delay,Clearing Delay,Mobile App,East,Agent_115,1,6,1,1774,24,2025-08-30 01:18:00
INC00223,Low,KYC/Documentation,Verification Delay,Email,East,Agent_16,14,2,0,2621,72,2025-07-15 14:55:00
INC00224,High,Delay,Clearing Delay,Chat,West,Agent_87,17,3,0,604,24,2025-04-02 17:25:00
INC00225,Low,Fraud Detection,Account Takeover,Phone,North,Agent_104,17,3,0,209,72,2025-08-06 17:24:00
INC00226,Low,KYC/Documentation,Missing Documents,Phone,West,Agent_77,19,0,0,2771,72,2025-08-03 19:49:00
INC00227,Medium,Transaction Mismatch,Amount Mismatch,Phone,South,Agent_65,7,6,0,482,48,2025-01-25 07:47:00
INC00228,Medium,Account Access,MFA Issue,Chat,South,Agent_39,7,4,0,280,48,2025-05-29 07:52:00
INC00229,Low,Transaction Mismatch,Duplicate Transaction,Email,West,Agent_72,21,6,0,921,72,2025-03-15 21:33:00
INC00230,Low,Account Access,Locked Account,Email,East,Agent_49,1,4,0,72,72,2025-09-11 01:22:00
INC00231,High,KYC/Documentation,Verification Delay,Mobile App,North,Agent_72,17,6,1,,24,2025-04-05 17:30:00
INC00232,Low,Delay,Clearing Delay,Phone,West,Agent_109,13,4,0,1673,72,2025-07-31 13:35:00
INC00233,Low,KYC/Documentation,Missing Documents,Phone,North,Agent_25,2,3,0,2712,72,2025-07-09 02:34:00
INC00234,Critical,KYC/Documentation,Verification Delay,Email,South,Agent_95,15,2,1,,4,2025-04-22 15:13:00
INC00235,Medium,KYC/Documentation,Mismatch Info,Email,Central,Agent_42,23,0,0,1616,48,2025-03-02 23:48:00
