inquiry_id,client_id,created_at,resolved_at,resolution_minutes,issue_category,issue_subcategory,priority,sla_hours,resolved_within_sla,satisfaction_score,channel,region,handled_by
INC00065,C1850,9/5/2025 14:27,9/5/2025 19:04,277,Account Access,MFA Issue,Low,72,TRUE,5,Phone,East,Agent_113
INC00066,C1506,8/19/2025 7:48,8/19/2025 14:36,408,Payment Failure,Beneficiary Error,Low,72,TRUE,5,Chat,South,Agent_63
INC00067,C1569,4/19/2025 11:51,4/19/2025 21:14,563,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Phone,Central,Agent_25
INC00068,C1728,2/13/2025 7:46,2/13/2025 18:32,646,Transaction Mismatch,Amount Mismatch,Medium,48,TRUE,5,Mobile App,West,Agent_102
INC00069,C1377,1/9/2025 2:18,1/9/2025 17:09,891,Transaction Mismatch,Amount Mismatch,Low,72,TRUE,4,Mobile App,Central,Agent_68
INC00070,C1257,6/26/2025 13:47,6/26/2025 22:47,540,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,,Email,North,Agent_93
INC00071,C1756,4/9/2025 10:07,4/10/2025 2:12,965,Payment Failure,Beneficiary Error,Low,72,TRUE,4,Mobile App,East,Agent_93
INC00072,C1014,5/25/2025 3:53,,,Fraud Detection,Account Takeover,Low,72,FALSE,,Email,East,Agent_6
INC00073,C1587,1/28/2025 17:18,1/29/2025 6:06,768,Chargeback,Merchant Error,Low,72,TRUE,5,Chat,West,Agent_62
INC00074,C1410,8/14/2025 10:11,8/15/2025 8:37,1346,Fraud Detection,Account Takeover,Low,72,TRUE,3,Mobile App,North,Agent_74
INC00075,C1121,1/28/2025 4:09,1/28/2025 11:52,463,Payment Failure,Insufficient Funds,Low,72,TRUE,5,Mobile App,Central,Agent_77
INC00076,C1312,4/26/2025 16:24,4/27/2025 4:32,728,KYC/Documentation,Verification Delay,High,24,TRUE,3,Phone,Central,Agent_95
INC00077,C1565,2/20/2025 6:40,2/20/2025 16:26,586,Fraud Detection,Card Fraud,Low,72,TRUE,,Phone,South,Agent_1
INC00078,C1723,7/29/2025 14:44,,,Transaction Mismatch,Amount Mismatch,Low,72,FALSE,,Chat,West,Agent_10
INC00079,C1435,4/30/2025 8:50,4/30/2025 10:48,118,Payment Failure,Beneficiary Error,High,24,TRUE,5,Phone,Central,Agent_29
INC00080,C1766,3/18/2025 8:52,3/20/2025 0:50,2398,Delay,Clearing Delay,High,24,FALSE,1,Chat,West,Agent_16
INC00081,C1448,8/28/2025 22:19,8/29/2025 8:55,636,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,5,Phone,Central,Agent_6
INC00082,C1856,8/10/2025 23:20,8/12/2025 4:35,1755,Fraud Detection,Card Fraud,Low,72,TRUE,3,Phone,East,Agent_74
INC00083,C1446,1/21/2025 5:30,1/21/2025 9:37,247,Account Access,MFA Issue,Low,72,TRUE,5,Mobile App,North,Agent_61
INC00084,C1507,6/28/2025 13:21,6/28/2025 21:06,465,Account Access,Password Reset,Low,72,TRUE,5,Chat,West,Agent_105
INC00085,C1413,1/19/2025 14:05,,,Fraud Detection,Card Fraud,Critical,4,FALSE,,Phone,Central,Agent_60
INC00086,C1052,7/31/2025 1:12,7/31/2025 16:43,931,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,4,Email,East,Agent_71
INC00087,C1623,3/9/2025 9:28,3/9/2025 14:45,317,Account Access,Password Reset,Low,72,TRUE,,Email,South,Agent_40
INC00088,C1663,1/8/2025 17:26,1/9/2025 7:28,842,Fraud Detection,Card Fraud,Medium,48,TRUE,,Email,West,Agent_120
INC00089,C1467,5/30/2025 16:45,5/30/2025 19:57,192,Transaction Mismatch,Duplicate Transaction,Critical,4,TRUE,2,Email,West,Agent_25
INC00090,C1519,3/11/2025 2:17,3/11/2025 7:49,332,Account Access,MFA Issue,Low,72,TRUE,5,Chat,North,Agent_37
INC00091,C1353,6/2/2025 18:37,6/3/2025 5:25,648,Transaction Mismatch,Amount Mismatch,Medium,48,TRUE,4,Chat,Central,Agent_98
INC00092,C1239,7/13/2025 14:59,7/15/2025 1:39,2080,KYC/Documentation,Mismatch Info,Low,72,TRUE,,Mobile App,North,Agent_41
INC00093,C1155,8/31/2025 22:58,9/1/2025 7:07,489,Transaction Mismatch,Missing Transaction,High,24,TRUE,4,Mobile App,North,Agent_17
INC00094,C1932,9/15/2025 18:21,,,Delay,Interbank Delay,Low,72,FALSE,,Mobile App,North,Agent_93
INC00095,C1346,3/15/2025 13:55,3/15/2025 22:29,514,Chargeback,Customer Dispute,Medium,48,TRUE,5,Mobile App,North,Agent_110
INC00096,C1777,6/18/2025 21:54,6/19/2025 12:04,850,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,4,Mobile App,Central,Agent_5
INC00097,C1100,2/5/2025 7:40,2/5/2025 15:32,472,Chargeback,Customer Dispute,Medium,48,TRUE,5,Phone,West,Agent_22
INC00098,C1149,6/3/2025 0:02,6/3/2025 3:01,179,Account Access,MFA Issue,Low,72,TRUE,5,Email,Central,Agent_53
INC00099,C1509,4/3/2025 5:11,4/3/2025 11:34,383,Payment Failure,Insufficient Funds,Medium,48,TRUE,5,Email,South,Agent_60
INC00100,C1559,5/11/2025 14:16,5/12/2025 11:01,1245,Delay,Interbank Delay,High,24,TRUE,2,Email,North,Agent_57
INC00101,C1203,6/26/2025 18:19,6/27/2025 14:25,1206,Chargeback,Merchant Error,Medium,48,TRUE,4,Mobile App,West,Agent_14
INC00102,C1849,5/2/2025 12:36,,,Payment Failure,Beneficiary Error,Low,72,FALSE,,Mobile App,East,Agent_2
INC00103,C1621,1/26/2025 19:47,1/27/2025 15:16,1169,KYC/Documentation,Verification Delay,High,24,TRUE,2,Chat,South,Agent_82
INC00104,C1643,4/8/2025 19:16,4/8/2025 20:43,87,Account Access,Locked Account,Medium,48,TRUE,5,Phone,North,Agent_40
INC00105,C1765,8/14/2025 1:37,8/14/2025 4:12,155,Account Access,Password Reset,High,24,TRUE,4,Mobile App,South,Agent_26
INC00106,C1935,3/9/2025 17:56,3/9/2025 22:54,298,Payment Failure,Insufficient Funds,High,24,TRUE,,Mobile App,East,Agent_96
INC00107,C1690,6/23/2025 3:29,6/23/2025 5:49,140,Delay,Clearing Delay,High,24,TRUE,4,Mobile App,Central,Agent_47
INC00108,C1688,2/16/2025 12:00,2/17/2025 4:19,979,Payment Failure,Insufficient Funds,Low,72,TRUE,5,Chat,Central,Agent_49
INC00109,C1335,7/10/2025 3:43,7/10/2025 9:29,346,Transaction Mismatch,Missing Transaction,High,24,TRUE,4,Email,North,Agent_82
INC00110,C1311,8/26/2025 22:19,8/27/2025 10:41,742,Transaction Mismatch,Amount Mismatch,Low,72,TRUE,5,Mobile App,North,Agent_13
INC00111,C1968,5/1/2025 17:08,5/2/2025 3:55,647,Transaction Mismatch,Missing Transaction,High,24,TRUE,4,Mobile App,Central,Agent_96
INC00112,C1033,3/21/2025 13:41,3/22/2025 8:08,1107,KYC/Documentation,Mismatch Info,Medium,48,TRUE,4,Chat,South,Agent_57
INC00113,C1660,8/16/2025 7:54,8/16/2025 10:59,185,Delay,Processing Queue,Low,72,TRUE,5,Chat,North,Agent_51
INC00114,C1657,5/22/2025 6:07,,,KYC/Documentation,Missing Documents,Medium,48,FALSE,,Phone,North,Agent_101
INC00115,C1212,6/20/2025 7:08,6/20/2025 10:47,219,Payment Failure,Gateway Error,High,24,TRUE,5,Email,South,Agent_43
INC00116,C1256,3/17/2025 19:00,3/18/2025 3:19,499,KYC/Documentation,Missing Documents,Critical,4,FALSE,2,Email,North,Agent_85
INC00117,C1178,1/14/2025 4:00,1/14/2025 3:37,-23,Account Access,Password Reset,Medium,48,TRUE,5,Chat,North,Agent_17
INC00118,C1525,8/4/2025 16:07,,,Delay,Interbank Delay,High,24,FALSE,,Phone,West,Agent_65
INC00119,C1658,4/24/2025 19:02,4/24/2025 22:03,181,Account Access,Locked Account,Medium,48,TRUE,,Phone,North,Agent_62
INC00120,C1329,7/25/2025 13:43,7/26/2025 6:57,1034,Transaction Mismatch,Duplicate Transaction,Low,72,TRUE,5,Email,North,Agent_17
INC00121,C1543,5/21/2025 19:40,5/22/2025 10:08,868,Payment Failure,Insufficient Funds,Low,72,TRUE,5,Chat,West,Agent_65
INC00122,C1564,8/9/2025 3:50,8/11/2025 2:29,2799,Delay,Processing Queue,Medium,48,TRUE,,Email,West,Agent_58
INC00123,C1437,4/27/2025 13:21,4/27/2025 21:14,473,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,5,Chat,East,Agent_48
INC00124,C1762,3/20/2025 21:59,3/23/2025 16:21,3982,Delay,Clearing Delay,Low,72,TRUE,2,Chat,South,Agent_72
INC00125,C1681,1/31/2025 18:35,1/31/2025 21:38,183,Transaction Mismatch,Amount Mismatch,Medium,48,TRUE,5,Mobile App,North,Agent_37
INC00126,C1867,6/9/2025 11:06,6/9/2025 16:57,351,Payment Failure,Gateway Error,Medium,48,TRUE,5,Phone,East,Agent_109
INC00127,C1838,7/8/2025 3:48,7/8/2025 10:51,423,Payment Failure,Insufficient Funds,High,24,TRUE,4,Phone,Central,Agent_119
INC00128,C1359,5/17/2025 0:11,,,Account Access,MFA Issue,High,24,FALSE,,Phone,South,Agent_112
INC00129,C1093,3/15/2025 18:42,3/16/2025 22:42,1680,Delay,Processing Queue,Medium,48,TRUE,3,Email,West,Agent_54
INC00130,C1610,8/21/2025 10:10,8/21/2025 16:23,373,Transaction Mismatch,Duplicate Transaction,High,24,TRUE,5,Phone,North,Agent_20
INC00131,C1621,3/22/2025 19:03,3/24/2025 6:15,2112,Delay,Interbank Delay,Medium,48,TRUE,3,Mobile App,West,Agent_35
INC00132,C1498,4/21/2025 16:07,4/22/2025 2:44,637,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,5,Chat,North,Agent_29
INC00133,C1261,7/22/2025 19:03,7/23/2025 9:36,873,Fraud Detection,Card Fraud,High,24,TRUE,3,Chat,East,Agent_16
INC00134,C1512,1/4/2025 15:47,1/6/2025 2:26,2079,Delay,Interbank Delay,Medium,48,TRUE,4,Chat,North,Agent_51
INC00135,C1414,1/22/2025 13:01,1/22/2025 18:14,313,Chargeback,Merchant Error,Medium,48,TRUE,5,Mobile App,East,Agent_15
INC00136,C1941,7/27/2025 0:20,7/28/2025 8:41,1941,KYC/Documentation,Mismatch Info,Medium,48,TRUE,3,Chat,North,Agent_56
INC00137,C1763,2/24/2025 7:27,2/24/2025 20:27,780,Transaction Mismatch,Amount Mismatch,Low,72,TRUE,5,Chat,South,Agent_43
INC00138,C1357,3/28/2025 2:32,3/31/2025 12:44,4932,Delay,Processing Queue,Low,72,FALSE,1,Chat,South,Agent_31
INC00139,C1077,2/22/2025 4:16,2/23/2025 18:41,2305,Delay,Clearing Delay,High,24,FALSE,1,Email,West,Agent_60
INC00140,C1884,8/18/2025 21:59,8/19/2025 0:30,151,Payment Failure,Beneficiary Error,Critical,4,TRUE,3,Chat,South,Agent_57
INC00141,C1519,2/4/2025 15:28,2/5/2025 3:30,722,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,4,Phone,East,Agent_60
INC00142,C1092,8/20/2025 1:03,8/21/2025 2:02,1499,KYC/Documentation,Missing Documents,Medium,48,TRUE,3,Mobile App,West,Agent_75
INC00143,C1513,1/22/2025 14:58,1/22/2025 23:25,507,Payment Failure,Gateway Error,Low,72,TRUE,5,Email,North,Agent_58
INC00144,C1448,2/22/2025 10:45,2/22/2025 23:15,750,Payment Failure,Gateway Error,Low,72,TRUE,5,Mobile App,Central,Agent_67
INC00145,C1612,3/23/2025 11:23,3/23/2025 19:50,507,Fraud Detection,Account Takeover,High,24,TRUE,4,Phone,East,Agent_9
INC00146,C1987,6/18/2025 3:35,6/18/2025 13:04,569,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,5,Email,East,Agent_11
INC00147,C1960,3/14/2025 11:19,3/14/2025 17:27,368,Account Access,MFA Issue,Low,72,TRUE,5,Phone,East,Agent_72
INC00148,C1701,7/12/2025 20:50,7/13/2025 19:29,1359,KYC/Documentation,Mismatch Info,Medium,48,TRUE,,Phone,West,Agent_66
INC00149,C1497,7/5/2025 0:23,7/5/2025 13:40,797,Fraud Detection,Card Fraud,Low,72,TRUE,4,Email,South,Agent_18
INC00150,C1756,3/21/2025 2:18,3/21/2025 5:41,203,Account Access,Locked Account,High,24,TRUE,5,Phone,East,Agent_113
INC00151,C1828,3/9/2025 19:24,,,Delay,Processing Queue,High,24,FALSE,,Email,West,Agent_6
INC00152,C1766,7/30/2025 11:43,7/31/2025 0:05,742,Fraud Detection,Account Takeover,Medium,48,TRUE,3,Mobile App,South,Agent_69
INC00153,C1451,5/3/2025 9:51,5/3/2025 22:36,765,Transaction Mismatch,Amount Mismatch,Low,72,TRUE,5,Mobile App,East,Agent_100
INC00154,C1893,7/15/2025 16:33,7/15/2025 23:36,423,Chargeback,Customer Dispute,High,24,TRUE,4,Chat,North,Agent_83
INC00155,C1085,9/4/2025 11:35,9/4/2025 16:52,317,Delay,Processing Queue,High,24,TRUE,4,Email,East,Agent_58
INC00156,C1027,3/17/2025 13:05,3/18/2025 3:50,885,Fraud Detection,Account Takeover,High,24,TRUE,3,Mobile App,North,Agent_51
INC00157,C1953,9/15/2025 11:15,9/17/2025 9:18,2763,Chargeback,Merchant Error,Low,72,TRUE,3,Phone,East,Agent_102
INC00158,C1777,3/16/2025 4:02,3/17/2025 17:03,2221,KYC/Documentation,Verification Delay,Medium,48,TRUE,2,Mobile App,West,Agent_79
INC00159,C1623,1/3/2025 2:01,1/3/2025 10:53,532,Fraud Detection,Card Fraud,Medium,48,TRUE,5,Mobile App,North,Agent_100
INC00160,C1468,5/28/2025 7:19,5/28/2025 22:44,925,Delay,Interbank Delay,Medium,48,TRUE,4,Phone,North,Agent_108
INC00161,C1298,9/13/2025 19:34,9/14/2025 2:57,443,Payment Failure,Beneficiary Error,Low,72,TRUE,5,Mobile App,North,Agent_79
INC00162,C1069,6/30/2025 7:36,6/30/2025 16:40,544,Fraud Detection,Suspicious Login,Low,72,TRUE,5,Phone,West,Agent_112
INC00163,C1807,8/29/2025 1:40,8/29/2025 19:44,1084,Chargeback,Merchant Error,Medium,48,TRUE,4,Phone,East,Agent_31
INC00164,C1833,2/23/2025 18:47,2/24/2025 18:40,1433,Transaction Mismatch,Amount Mismatch,Low,72,TRUE,4,Email,West,Agent_90
INC00165,C1037,9/3/2025 20:11,9/4/2025 11:18,907,Delay,Processing Queue,High,24,TRUE,3,Chat,South,Agent_6
INC00166,C1484,4/13/2025 1:20,4/13/2025 4:27,187,Transaction Mismatch,Duplicate Transaction,Critical,4,TRUE,2,Chat,North,Agent_97
INC00167,C1818,4/8/2025 9:22,4/8/2025 12:17,175,Account Access,Locked Account,Low,72,TRUE,5,Chat,West,Agent_114
INC00168,C1708,7/24/2025 23:28,7/25/2025 4:05,277,Chargeback,Merchant Error,Critical,4,FALSE,1,Mobile App,East,Agent_119
INC00169,C1558,5/17/2025 2:46,5/17/2025 13:47,661,Delay,Processing Queue,Critical,4,FALSE,1,Chat,East,Agent_14
INC00170,C1706,2/10/2025 10:42,2/10/2025 14:29,227,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Mobile App,East,Agent_58
INC00171,C1970,1/22/2025 23:55,1/23/2025 9:42,587,Transaction Mismatch,Duplicate Transaction,Low,72,TRUE,4,Phone,North,Agent_86
INC00172,C1869,7/27/2025 11:32,7/27/2025 11:23,-9,Account Access,Password Reset,Critical,4,TRUE,5,Mobile App,North,Agent_17
INC00173,C1619,2/4/2025 7:49,2/4/2025 12:21,272,Transaction Mismatch,Duplicate Transaction,High,24,TRUE,,Email,West,Agent_48
INC00174,C1665,7/10/2025 14:48,7/10/2025 18:05,197,Payment Failure,Beneficiary Error,Low,72,TRUE,4,Chat,South,Agent_15
INC00175,C1266,1/14/2025 23:11,1/15/2025 6:43,452,Payment Failure,Beneficiary Error,Low,72,TRUE,5,Mobile App,South,Agent_79
INC00176,C1176,5/27/2025 22:58,5/28/2025 9:32,634,Fraud Detection,Card Fraud,High,24,TRUE,4,Mobile App,North,Agent_104
INC00177,C1871,6/13/2025 21:22,6/15/2025 22:27,2945,Delay,Processing Queue,Low,72,TRUE,,Email,South,Agent_102
INC00178,C1026,7/5/2025 16:14,7/6/2025 12:08,1194,Chargeback,Customer Dispute,Low,72,TRUE,4,Chat,Central,Agent_74
INC00179,C1734,7/8/2025 14:51,7/10/2025 20:07,3196,Delay,Clearing Delay,Low,72,TRUE,3,Mobile App,Central,Agent_53
INC00180,C1529,7/29/2025 18:04,7/30/2025 5:29,685,Chargeback,Customer Dispute,Medium,48,TRUE,5,Chat,South,Agent_113
INC00181,C1156,4/4/2025 4:27,4/5/2025 5:46,1519,KYC/Documentation,Missing Documents,High,24,FALSE,1,Chat,South,Agent_21
INC00182,C1201,6/15/2025 22:14,6/16/2025 5:19,425,Chargeback,Merchant Error,High,24,TRUE,4,Chat,South,Agent_81
INC00183,C1157,6/5/2025 19:34,6/6/2025 2:04,390,Payment Failure,Gateway Error,Medium,48,TRUE,5,Email,Central,Agent_93
INC00184,C1789,6/22/2025 18:02,6/25/2025 13:56,4074,KYC/Documentation,Missing Documents,Low,72,TRUE,2,Chat,South,Agent_99
INC00185,C1979,8/2/2025 19:40,8/2/2025 23:29,229,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Chat,West,Agent_32
INC00186,C1475,7/27/2025 9:29,7/27/2025 13:40,251,Account Access,Password Reset,Medium,48,TRUE,5,Email,East,Agent_78
INC00187,C1778,3/15/2025 10:55,3/15/2025 12:18,83,Transaction Mismatch,Duplicate Transaction,Critical,4,TRUE,3,Chat,Central,Agent_72
INC00188,C1051,2/24/2025 10:15,2/25/2025 11:31,1516,Delay,Interbank Delay,Low,72,TRUE,4,Chat,West,Agent_111
INC00189,C1320,8/3/2025 7:55,8/4/2025 17:52,2037,Delay,Interbank Delay,High,24,FALSE,1,Email,South,Agent_64
INC00190,C1468,8/28/2025 15:56,8/28/2025 21:15,319,Transaction Mismatch,Amount Mismatch,High,24,TRUE,4,Email,South,Agent_75
INC00191,C1549,6/30/2025 1:03,6/30/2025 12:17,674,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Phone,North,Agent_56
